epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.83,3.42786,4.75682,4.16279,0.0008,0.01553,0.00082,0.00023,2.98668,4.88795,4.03095,0.0033308,0.0033308,0.0033308
2,297.096,2.96944,4.24205,3.58113,0.57688,0.03619,0.01769,0.00469,2.68998,4.26173,3.3825,0.00663115,0.00663115,0.00663115
3,449.791,2.43856,3.78182,2.91533,0.46751,0.07472,0.05328,0.01887,2.32332,3.82731,2.93508,0.00989849,0.00989849,0.00989849
4,600.515,2.12293,3.42781,2.56289,0.38477,0.10604,0.07512,0.02892,2.09291,3.52006,2.64223,0.0098515,0.0098515,0.0098515
5,751.646,1.98779,3.19642,2.40165,0.33617,0.15194,0.11837,0.04847,1.9645,3.23592,2.43106,0.009802,0.009802,0.009802
6,902.607,1.90041,3.02712,2.29354,0.4254,0.20586,0.15105,0.06358,1.87963,3.05154,2.35546,0.0097525,0.0097525,0.0097525
7,1039.5,1.85447,2.92971,2.23734,0.40495,0.20591,0.17733,0.07669,1.84957,2.88127,2.28856,0.009703,0.009703,0.009703
8,1167.34,1.80922,2.83035,2.18226,0.4596,0.22504,0.1993,0.09366,1.78245,2.80052,2.24478,0.0096535,0.0096535,0.0096535
9,1295.17,1.77175,2.76898,2.14795,0.42609,0.22596,0.1985,0.08983,1.75945,2.79388,2.18272,0.009604,0.009604,0.009604
10,1422.97,1.74766,2.68845,2.11755,0.4925,0.24602,0.23513,0.11008,1.74107,2.65059,2.17037,0.0095545,0.0095545,0.0095545
11,1550.78,1.72768,2.64647,2.09629,0.4063,0.26257,0.21928,0.10173,1.7118,2.65841,2.14394,0.009505,0.009505,0.009505
12,1678.6,1.71386,2.59764,2.07592,0.45014,0.25915,0.24401,0.11576,1.71092,2.62002,2.16046,0.0094555,0.0094555,0.0094555
13,1806.49,1.69003,2.57886,2.05077,0.45652,0.27534,0.26813,0.13159,1.67247,2.52432,2.10393,0.009406,0.009406,0.009406
14,1934.28,1.67425,2.50987,2.0239,0.43769,0.30536,0.26325,0.12953,1.65232,2.48874,2.06712,0.0093565,0.0093565,0.0093565
15,2062.07,1.65873,2.47196,2.01243,0.38054,0.33415,0.29877,0.14556,1.65642,2.38104,2.0697,0.009307,0.009307,0.009307
16,2189.9,1.65213,2.45542,2.00504,0.47621,0.33541,0.30286,0.14716,1.65438,2.39971,2.05145,0.0092575,0.0092575,0.0092575
17,2317.82,1.63425,2.44614,1.98357,0.52781,0.31093,0.31523,0.1587,1.609,2.31554,2.00687,0.009208,0.009208,0.009208
18,2445.66,1.63283,2.40726,1.9755,0.52712,0.30771,0.31404,0.15464,1.64038,2.37534,2.03666,0.0091585,0.0091585,0.0091585
19,2573.49,1.60864,2.36367,1.95688,0.464,0.34004,0.3269,0.15995,1.59835,2.32742,2.00435,0.009109,0.009109,0.009109
20,2701.29,1.60293,2.35446,1.95456,0.46486,0.3561,0.33501,0.17062,1.61362,2.27744,1.99478,0.0090595,0.0090595,0.0090595
21,2829.07,1.6055,2.35401,1.94957,0.37159,0.36113,0.32495,0.16319,1.59175,2.23816,1.99731,0.00901,0.00901,0.00901
22,2956.94,1.58803,2.31145,1.92365,0.53559,0.38599,0.36495,0.18261,1.60964,2.20086,1.98606,0.0089605,0.0089605,0.0089605
23,3084.77,1.587,2.31168,1.93241,0.45658,0.34155,0.33031,0.16245,1.59442,2.27671,1.99573,0.008911,0.008911,0.008911
24,3212.63,1.5617,2.26541,1.91003,0.38813,0.38735,0.35786,0.18133,1.57289,2.20268,1.96548,0.0088615,0.0088615,0.0088615
25,3340.46,1.5793,2.25642,1.91885,0.51634,0.36234,0.35604,0.1748,1.59562,2.20112,1.97482,0.008812,0.008812,0.008812
26,3468.22,1.55233,2.2439,1.89658,0.51874,0.39793,0.37287,0.19334,1.56212,2.11943,1.94042,0.0087625,0.0087625,0.0087625
27,3596.03,1.54969,2.22052,1.88395,0.5142,0.33261,0.35337,0.17744,1.57912,2.22143,1.95445,0.008713,0.008713,0.008713
28,3723.87,1.54464,2.21882,1.87835,0.44723,0.41092,0.36131,0.18791,1.52284,2.11475,1.92761,0.0086635,0.0086635,0.0086635
29,3851.58,1.54734,2.2082,1.8812,0.50785,0.38335,0.38509,0.20073,1.56056,2.11777,1.94616,0.008614,0.008614,0.008614
30,3979.42,1.53357,2.19854,1.87429,0.49414,0.39299,0.38406,0.19898,1.54055,2.0903,1.93,0.0085645,0.0085645,0.0085645
31,4107.31,1.52105,2.14813,1.86135,0.50617,0.41264,0.40199,0.20611,1.5396,2.05014,1.93411,0.008515,0.008515,0.008515
32,4235.14,1.52567,2.15375,1.8631,0.57172,0.38827,0.41333,0.21727,1.52662,2.05009,1.90857,0.0084655,0.0084655,0.0084655
33,4363.02,1.51952,2.13217,1.85278,0.55129,0.42081,0.41902,0.22134,1.52007,2.02209,1.90456,0.008416,0.008416,0.008416
34,4490.83,1.51836,2.12554,1.84675,0.45078,0.42663,0.41259,0.21882,1.51729,2.00101,1.90198,0.0083665,0.0083665,0.0083665
35,4618.59,1.51196,2.1026,1.83364,0.44109,0.4287,0.40643,0.21563,1.51604,2.03426,1.89588,0.008317,0.008317,0.008317
36,4746.53,1.50249,2.10512,1.83289,0.48491,0.42258,0.41326,0.22019,1.50832,2.01083,1.88351,0.0082675,0.0082675,0.0082675
37,4874.35,1.49083,2.07726,1.82547,0.48941,0.44278,0.43281,0.23066,1.49311,1.95417,1.88351,0.008218,0.008218,0.008218
38,5002.22,1.49391,2.07723,1.82073,0.47438,0.45681,0.44952,0.24022,1.49473,1.92614,1.88391,0.0081685,0.0081685,0.0081685
39,5130.06,1.48003,2.05264,1.81175,0.58351,0.4124,0.44263,0.2349,1.50228,1.94961,1.87723,0.008119,0.008119,0.008119
40,5257.92,1.48965,2.06577,1.82138,0.50517,0.46913,0.44614,0.24047,1.48915,1.93358,1.88132,0.0080695,0.0080695,0.0080695
41,5385.98,1.47841,2.02977,1.80171,0.55597,0.45154,0.45415,0.24433,1.47899,1.92281,1.85176,0.00802,0.00802,0.00802
