epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2983,3.44583,4.49817,4.06753,0.00221,0.1092,0.0031,0.00073,3.00344,4.82126,3.76726,0.000221458,0.000221458,0.000221458
2,145.993,2.89038,3.96799,3.32683,0.46839,0.02416,0.01143,0.0027,2.61258,4.22163,3.32166,0.000439398,0.000439398,0.000439398
3,218.337,2.41575,3.58404,2.80365,0.45199,0.0462,0.04043,0.01438,2.37803,3.92333,3.03836,0.000652935,0.000652935,0.000652935
4,290.68,2.17308,3.26931,2.54317,0.54752,0.09891,0.08123,0.03025,2.21989,3.85118,2.65871,0.00064719,0.00064719,0.00064719
5,362.884,2.08119,3.09537,2.4266,0.71915,0.10368,0.1391,0.05761,2.10114,3.28049,2.55306,0.000640587,0.000640587,0.000640587
6,440.023,1.99423,2.93792,2.32669,0.39714,0.18861,0.16496,0.06584,2.03881,3.05622,2.49244,0.000633983,0.000633983,0.000633983
7,535.576,1.92237,2.84392,2.26528,0.4068,0.18985,0.17071,0.07372,1.99118,3.01507,2.40059,0.00062738,0.00062738,0.00062738
8,629.282,1.90391,2.77627,2.2273,0.52934,0.21866,0.22325,0.10029,1.87495,2.82165,2.31915,0.000620777,0.000620777,0.000620777
9,723.78,1.85932,2.6936,2.17838,0.51224,0.25071,0.25774,0.11166,1.86095,2.7656,2.30105,0.000614174,0.000614174,0.000614174
10,819.458,1.82351,2.62347,2.14269,0.47018,0.28613,0.29199,0.12984,1.81449,2.64491,2.21747,0.00060757,0.00060757,0.00060757
11,917.072,1.79302,2.55152,2.0978,0.55189,0.28859,0.31283,0.14309,1.77209,2.55018,2.18676,0.000600967,0.000600967,0.000600967
12,1018.82,1.77259,2.51675,2.07523,0.57595,0.28508,0.2989,0.13943,1.75213,2.53524,2.14482,0.000594364,0.000594364,0.000594364
13,1120.28,1.74623,2.45437,2.05473,0.41284,0.32091,0.31794,0.14786,1.75894,2.50686,2.13534,0.00058776,0.00058776,0.00058776
14,1221.67,1.7167,2.42403,2.02417,0.4753,0.36347,0.3446,0.16266,1.73459,2.36894,2.14532,0.000581157,0.000581157,0.000581157
15,1319.74,1.70231,2.38764,2.01196,0.46444,0.39615,0.38389,0.18779,1.69218,2.31928,2.1068,0.000574554,0.000574554,0.000574554
16,1392.92,1.69205,2.35431,1.99039,0.44651,0.3541,0.36856,0.17893,1.68418,2.3952,2.09414,0.00056795,0.00056795,0.00056795
17,1465.03,1.66256,2.33399,1.97726,0.53499,0.36169,0.36756,0.17817,1.67668,2.33672,2.07167,0.000561347,0.000561347,0.000561347
18,1537.16,1.66672,2.29595,1.95852,0.55587,0.36339,0.39669,0.19745,1.62823,2.25546,2.03447,0.000554744,0.000554744,0.000554744
19,1609.18,1.63305,2.28087,1.94333,0.48446,0.38965,0.40663,0.19422,1.64747,2.2037,2.03456,0.000548141,0.000548141,0.000548141
20,1681.26,1.62449,2.24179,1.92351,0.55194,0.39535,0.42611,0.22044,1.61292,2.13954,1.99707,0.000541537,0.000541537,0.000541537
21,1753.41,1.62608,2.22677,1.9154,0.51403,0.39515,0.43504,0.21499,1.60179,2.15409,1.99451,0.000534934,0.000534934,0.000534934
22,1825.53,1.60536,2.19631,1.90232,0.53762,0.40993,0.43747,0.22153,1.60906,2.14713,2.01208,0.000528331,0.000528331,0.000528331
23,1897.74,1.60037,2.1869,1.89674,0.61349,0.38178,0.44007,0.22559,1.5954,2.16239,1.96593,0.000521727,0.000521727,0.000521727
24,1970.11,1.60299,2.16853,1.88834,0.55493,0.41165,0.44082,0.22642,1.64074,2.14544,2.01258,0.000515124,0.000515124,0.000515124
25,2042.39,1.57812,2.14335,1.86588,0.57654,0.43452,0.45826,0.23537,1.58084,2.09952,1.95031,0.000508521,0.000508521,0.000508521
26,2114.62,1.57173,2.11617,1.86107,0.57893,0.42069,0.45357,0.2328,1.57494,2.08329,1.97344,0.000501917,0.000501917,0.000501917
27,2188.06,1.55805,2.11601,1.85868,0.5609,0.45412,0.45092,0.23118,1.56735,2.06351,1.95038,0.000495314,0.000495314,0.000495314
28,2259.95,1.54404,2.07485,1.83925,0.63732,0.4316,0.47349,0.24512,1.55953,2.03132,1.94198,0.000488711,0.000488711,0.000488711
29,2327.91,1.541,2.08546,1.83476,0.54961,0.44786,0.4932,0.24691,1.54939,2.02968,1.93646,0.000482108,0.000482108,0.000482108
30,2396.13,1.52216,2.03729,1.81803,0.55167,0.46267,0.48994,0.24818,1.55381,2.01219,1.93698,0.000475504,0.000475504,0.000475504
31,2464.09,1.53453,2.02263,1.8149,0.66094,0.43864,0.48279,0.24869,1.56188,1.97379,1.9233,0.000468901,0.000468901,0.000468901
32,2532.37,1.51626,2.04656,1.81241,0.51848,0.47377,0.46993,0.2483,1.50626,1.97089,1.90327,0.000462298,0.000462298,0.000462298
33,2600.43,1.50706,2.01176,1.80117,0.53837,0.46855,0.49277,0.26012,1.51463,1.93906,1.88238,0.000455694,0.000455694,0.000455694
34,2668.38,1.50001,1.99145,1.7826,0.57811,0.46398,0.50537,0.26455,1.50621,1.90822,1.89228,0.000449091,0.000449091,0.000449091
35,2736.57,1.50493,1.96845,1.7858,0.60175,0.46791,0.50946,0.26459,1.50332,1.94811,1.87748,0.000442488,0.000442488,0.000442488
36,2805.06,1.49353,1.94588,1.77097,0.59158,0.47309,0.51248,0.26689,1.51548,1.92957,1.89539,0.000435884,0.000435884,0.000435884
37,2873.01,1.48437,1.97366,1.77683,0.6801,0.41309,0.50463,0.26575,1.50845,1.91235,1.88892,0.000429281,0.000429281,0.000429281
38,2941.02,1.49416,1.96224,1.77426,0.66872,0.43581,0.51044,0.26723,1.50283,1.8948,1.89938,0.000422678,0.000422678,0.000422678
39,3008.91,1.47613,1.94059,1.76396,0.65861,0.46688,0.51685,0.27679,1.48173,1.83393,1.86284,0.000416075,0.000416075,0.000416075
40,3077.59,1.47795,1.93281,1.76554,0.51445,0.47934,0.50279,0.26829,1.49799,1.9106,1.86915,0.000409471,0.000409471,0.000409471
41,3145.53,1.46649,1.92082,1.75593,0.5643,0.49082,0.52134,0.27874,1.49673,1.87194,1.85872,0.000402868,0.000402868,0.000402868
42,3213.78,1.44817,1.89433,1.73733,0.58453,0.51084,0.53027,0.28252,1.4634,1.80117,1.83562,0.000396265,0.000396265,0.000396265
43,3281.85,1.44942,1.89114,1.73315,0.68711,0.48121,0.54987,0.29474,1.48535,1.78497,1.85609,0.000389661,0.000389661,0.000389661
44,3349.82,1.44811,1.90402,1.74295,0.61674,0.52255,0.55046,0.29605,1.47025,1.78721,1.82792,0.000383058,0.000383058,0.000383058
45,3418.05,1.43907,1.87739,1.72636,0.63104,0.50754,0.55431,0.30068,1.46363,1.78595,1.82472,0.000376455,0.000376455,0.000376455
46,3486.07,1.43983,1.88076,1.73529,0.63856,0.50233,0.54524,0.2937,1.46901,1.78555,1.84664,0.000369851,0.000369851,0.000369851
47,3554,1.4386,1.86277,1.71898,0.62735,0.52045,0.54446,0.29133,1.46731,1.77448,1.84535,0.000363248,0.000363248,0.000363248
48,3623,1.43186,1.84253,1.72118,0.56794,0.51975,0.55121,0.2981,1.45079,1.80861,1.81406,0.000356645,0.000356645,0.000356645
49,3691.27,1.42596,1.83806,1.71423,0.6287,0.51836,0.5536,0.30186,1.46149,1.80535,1.82375,0.000350042,0.000350042,0.000350042
50,3759.31,1.43083,1.84789,1.71619,0.61863,0.5331,0.56949,0.30705,1.4694,1.77099,1.82411,0.000343438,0.000343438,0.000343438
51,3827.3,1.41945,1.82411,1.70125,0.60968,0.55199,0.57682,0.31654,1.44239,1.75299,1.81421,0.000336835,0.000336835,0.000336835
52,3895.66,1.40229,1.79593,1.694,0.62201,0.53811,0.56503,0.30542,1.44618,1.74703,1.8101,0.000330232,0.000330232,0.000330232
53,3963.54,1.41399,1.82342,1.71164,0.61399,0.53854,0.56501,0.31096,1.45383,1.74262,1.81913,0.000323628,0.000323628,0.000323628
54,4031.67,1.39717,1.79415,1.69248,0.59401,0.52839,0.57359,0.3037,1.44587,1.75035,1.81207,0.000317025,0.000317025,0.000317025
55,4099.82,1.39493,1.7847,1.68923,0.62215,0.52651,0.57146,0.31258,1.44464,1.76535,1.81115,0.000310422,0.000310422,0.000310422
56,4167.84,1.39321,1.79305,1.68605,0.56019,0.54258,0.567,0.30632,1.44112,1.75435,1.80057,0.000303818,0.000303818,0.000303818
57,4235.87,1.39835,1.78776,1.68958,0.6169,0.53081,0.57746,0.31429,1.46091,1.7201,1.82124,0.000297215,0.000297215,0.000297215
58,4303.85,1.38773,1.77559,1.67553,0.62448,0.54914,0.57752,0.31755,1.43214,1.7104,1.79704,0.000290612,0.000290612,0.000290612
59,4371.85,1.38757,1.76787,1.67189,0.63904,0.54556,0.58276,0.31833,1.42471,1.69074,1.79087,0.000284009,0.000284009,0.000284009
60,4440.12,1.38391,1.74869,1.67528,0.6659,0.53644,0.58665,0.32607,1.42102,1.66722,1.78906,0.000277405,0.000277405,0.000277405
61,4508.02,1.37257,1.7495,1.6634,0.63849,0.54128,0.57707,0.31978,1.41646,1.701,1.78919,0.000270802,0.000270802,0.000270802
62,4576.32,1.38452,1.76924,1.67646,0.66749,0.54062,0.5852,0.33004,1.42831,1.69868,1.78742,0.000264199,0.000264199,0.000264199
63,4644.29,1.36713,1.74649,1.66031,0.64933,0.53378,0.58017,0.32284,1.40994,1.66994,1.78301,0.000257595,0.000257595,0.000257595
64,4712.5,1.3819,1.7424,1.67166,0.63178,0.55711,0.58494,0.32612,1.4093,1.65542,1.77897,0.000250992,0.000250992,0.000250992
65,4780.51,1.36036,1.72415,1.65113,0.65319,0.54814,0.58968,0.33051,1.41477,1.64758,1.7755,0.000244389,0.000244389,0.000244389
66,4848.51,1.35734,1.70532,1.64679,0.67045,0.54505,0.59282,0.33056,1.41226,1.63284,1.77647,0.000237785,0.000237785,0.000237785
67,4916.52,1.34977,1.70277,1.64864,0.6611,0.53929,0.59041,0.32874,1.41689,1.67479,1.77495,0.000231182,0.000231182,0.000231182
68,4985.67,1.33647,1.69968,1.63466,0.6341,0.54619,0.58745,0.32859,1.42055,1.67397,1.77218,0.000224579,0.000224579,0.000224579
69,5053.69,1.349,1.7015,1.64436,0.64257,0.54965,0.58812,0.33045,1.40292,1.65771,1.76693,0.000217976,0.000217976,0.000217976
70,5121.57,1.34517,1.70011,1.64668,0.65285,0.54072,0.5885,0.33054,1.40703,1.64029,1.76776,0.000211372,0.000211372,0.000211372
71,5189.5,1.33805,1.70592,1.63878,0.65019,0.5408,0.58799,0.32968,1.41018,1.65264,1.77691,0.000204769,0.000204769,0.000204769
72,5257.53,1.35717,1.69876,1.64428,0.63344,0.55991,0.58703,0.32764,1.40902,1.65372,1.76991,0.000198166,0.000198166,0.000198166
73,5325.42,1.33785,1.68784,1.63382,0.67091,0.55079,0.59971,0.33567,1.4118,1.62919,1.77432,0.000191562,0.000191562,0.000191562
74,5393.29,1.32733,1.67848,1.63126,0.66323,0.54882,0.59634,0.33615,1.39193,1.62697,1.75622,0.000184959,0.000184959,0.000184959
75,5461.62,1.33572,1.68883,1.63486,0.65644,0.54377,0.60731,0.34143,1.39069,1.60058,1.75326,0.000178356,0.000178356,0.000178356
76,5530.29,1.33919,1.67635,1.62982,0.64229,0.55551,0.59272,0.33466,1.40487,1.63758,1.75837,0.000171752,0.000171752,0.000171752
77,5598.18,1.31911,1.64795,1.62316,0.64988,0.54916,0.5919,0.3339,1.39899,1.62877,1.76124,0.000165149,0.000165149,0.000165149
78,5666.89,1.32486,1.67149,1.62071,0.67345,0.54024,0.58862,0.33163,1.39578,1.62434,1.75427,0.000158546,0.000158546,0.000158546
79,5734.84,1.32491,1.64592,1.61822,0.64875,0.54436,0.5935,0.33219,1.40812,1.63811,1.76496,0.000151943,0.000151943,0.000151943
80,5802.79,1.32808,1.64914,1.62419,0.64881,0.54238,0.59003,0.33172,1.40004,1.62878,1.76117,0.000145339,0.000145339,0.000145339
81,5871.27,1.31471,1.64352,1.61123,0.65285,0.56755,0.60403,0.34174,1.39503,1.58927,1.75526,0.000138736,0.000138736,0.000138736
82,5939.77,1.3032,1.63386,1.60536,0.66486,0.57236,0.61526,0.34746,1.38983,1.55972,1.75548,0.000132133,0.000132133,0.000132133
83,6007.73,1.3145,1.63792,1.60988,0.6594,0.55229,0.60801,0.34602,1.38889,1.58465,1.74907,0.000125529,0.000125529,0.000125529
84,6075.64,1.29182,1.61478,1.601,0.66841,0.55114,0.60683,0.3437,1.38969,1.57985,1.75329,0.000118926,0.000118926,0.000118926
85,6143.59,1.30071,1.61523,1.6032,0.66539,0.5443,0.60175,0.34337,1.38956,1.59022,1.75877,0.000112323,0.000112323,0.000112323
86,6213.07,1.30548,1.60843,1.60239,0.64969,0.5543,0.61052,0.3461,1.38947,1.58563,1.74879,0.00010572,0.00010572,0.00010572
