epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2647,1.46624,2.89447,1.65518,0.54548,0.31765,0.32455,0.17754,1.44098,2.59501,1.73085,0.000221896,0.000221896,0.000221896
2,175.981,1.46718,2.27622,1.6408,0.62803,0.32707,0.39038,0.21188,1.50375,2.48873,1.80072,0.000435433,0.000435433,0.000435433
3,262.533,1.47073,2.18809,1.6432,0.50093,0.34338,0.37866,0.19736,1.51124,2.41658,1.80119,0.000640166,0.000640166,0.000640166
4,348.884,1.44706,2.087,1.61643,0.6339,0.40312,0.44903,0.23481,1.46667,2.20651,1.72645,0.00062738,0.00062738,0.00062738
5,435.917,1.41828,2.01532,1.59585,0.5771,0.37254,0.43736,0.23278,1.43861,2.1739,1.71795,0.000614174,0.000614174,0.000614174
6,525.516,1.41682,1.97176,1.59695,0.69203,0.42925,0.49445,0.27492,1.43231,2.02351,1.69635,0.000600967,0.000600967,0.000600967
7,611.783,1.38586,1.90175,1.57571,0.53166,0.49005,0.48005,0.25876,1.41894,2.03278,1.69209,0.00058776,0.00058776,0.00058776
8,688.498,1.36405,1.86428,1.54944,0.67416,0.41346,0.51771,0.27764,1.41806,1.90808,1.66394,0.000574554,0.000574554,0.000574554
9,765.164,1.36092,1.82482,1.54676,0.61178,0.44047,0.48063,0.26199,1.39394,1.96464,1.66305,0.000561347,0.000561347,0.000561347
10,841.804,1.34457,1.80461,1.54117,0.62286,0.4719,0.52717,0.28583,1.40719,1.89396,1.66888,0.000548141,0.000548141,0.000548141
11,918.486,1.31863,1.75778,1.51377,0.4668,0.50992,0.52646,0.28747,1.37074,1.82679,1.65628,0.000534934,0.000534934,0.000534934
12,996.361,1.31877,1.75398,1.52255,0.57546,0.51968,0.55622,0.31433,1.37314,1.74558,1.62434,0.000521727,0.000521727,0.000521727
13,1072.96,1.31036,1.7336,1.51362,0.60623,0.54652,0.58922,0.33391,1.33371,1.70385,1.59876,0.000508521,0.000508521,0.000508521
14,1149.72,1.30142,1.69729,1.50194,0.61612,0.54901,0.58229,0.33039,1.33863,1.70421,1.60639,0.000495314,0.000495314,0.000495314
15,1226.62,1.28538,1.67012,1.48786,0.58086,0.52354,0.58135,0.32931,1.32031,1.71811,1.57322,0.000482108,0.000482108,0.000482108
16,1303.26,1.28815,1.66386,1.48749,0.59389,0.5428,0.57771,0.3233,1.33623,1.72722,1.587,0.000468901,0.000468901,0.000468901
17,1381.36,1.2693,1.63471,1.48007,0.64575,0.48402,0.55385,0.31295,1.35369,1.71068,1.60962,0.000455694,0.000455694,0.000455694
18,1461.54,1.2622,1.60658,1.46892,0.63313,0.54486,0.59077,0.33433,1.3401,1.63014,1.59177,0.000442488,0.000442488,0.000442488
19,1552.99,1.24858,1.59396,1.46345,0.62142,0.55116,0.59807,0.33571,1.33331,1.61701,1.60102,0.000429281,0.000429281,0.000429281
20,1635.38,1.24216,1.58697,1.45495,0.55706,0.55486,0.58242,0.34225,1.30356,1.66779,1.55708,0.000416075,0.000416075,0.000416075
21,1716.99,1.23201,1.57103,1.44634,0.60594,0.5579,0.60312,0.35408,1.30714,1.58437,1.55697,0.000402868,0.000402868,0.000402868
22,1799.07,1.24275,1.56401,1.45507,0.60463,0.5785,0.60634,0.34917,1.30478,1.60368,1.56681,0.000389661,0.000389661,0.000389661
23,1880.22,1.23167,1.54449,1.43758,0.61804,0.5747,0.61838,0.36316,1.2841,1.59097,1.54019,0.000376455,0.000376455,0.000376455
24,1961.63,1.20986,1.52111,1.42986,0.58363,0.59055,0.59694,0.34801,1.30752,1.61362,1.55489,0.000363248,0.000363248,0.000363248
25,2043.02,1.20909,1.50488,1.42371,0.607,0.58773,0.61343,0.35749,1.29955,1.56622,1.56683,0.000350042,0.000350042,0.000350042
26,2124.41,1.19667,1.48106,1.41985,0.61332,0.5876,0.6353,0.36874,1.28732,1.53816,1.55234,0.000336835,0.000336835,0.000336835
27,2206.3,1.20051,1.48589,1.41765,0.60056,0.59695,0.62041,0.36346,1.28509,1.52796,1.54224,0.000323628,0.000323628,0.000323628
28,2287.78,1.1889,1.47332,1.41819,0.62356,0.60032,0.61785,0.35983,1.27298,1.53264,1.53433,0.000310422,0.000310422,0.000310422
