epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.2949,3.43667,4.76992,4.17607,0.00122,0.0794,0.00093,0.00026,3.08645,4.70433,4.06823,0.0033232,0.0033232,0.0033232
2,190.007,2.94006,4.21745,3.57338,0.49522,0.02501,0.0114,0.00285,2.70296,4.49619,3.3515,0.00662359,0.00662359,0.00662359
3,291.622,2.38019,3.70874,2.87337,0.36313,0.0885,0.04136,0.01451,2.28027,3.87659,2.91289,0.00989097,0.00989097,0.00989097
4,393.133,2.08704,3.3361,2.51613,0.30323,0.11744,0.08015,0.03187,2.04134,3.39038,2.5554,0.0098515,0.0098515,0.0098515
5,494.62,1.95935,3.07994,2.35212,0.37381,0.16346,0.13027,0.05432,1.96457,3.16318,2.40834,0.009802,0.009802,0.009802
6,595.991,1.88088,2.9132,2.25867,0.48696,0.18586,0.17956,0.07967,1.88443,2.99823,2.33354,0.0097525,0.0097525,0.0097525
7,694.258,1.83128,2.83145,2.20904,0.53139,0.19737,0.17563,0.07763,1.82981,2.96622,2.25387,0.009703,0.009703,0.009703
8,782.617,1.78353,2.72771,2.15025,0.34699,0.23472,0.20495,0.09326,1.78695,2.75669,2.20126,0.0096535,0.0096535,0.0096535
9,870.69,1.75964,2.65611,2.10816,0.49171,0.19565,0.20988,0.09586,1.75585,2.83339,2.17429,0.009604,0.009604,0.009604
10,961.332,1.72411,2.56288,2.06814,0.46156,0.23941,0.2351,0.11172,1.764,2.65294,2.17492,0.0095545,0.0095545,0.0095545
11,1051.27,1.70414,2.53322,2.05038,0.46089,0.27636,0.25266,0.11909,1.70478,2.61677,2.08975,0.009505,0.009505,0.009505
12,1141.3,1.67983,2.47724,2.01688,0.47176,0.3085,0.30682,0.14494,1.7079,2.46089,2.08858,0.0094555,0.0094555,0.0094555
13,1230.77,1.66863,2.44504,2.00981,0.47825,0.29143,0.28955,0.14632,1.6659,2.44852,2.07716,0.009406,0.009406,0.009406
14,1319.83,1.65457,2.40006,1.98699,0.3595,0.35522,0.30765,0.14687,1.65712,2.37253,2.04397,0.0093565,0.0093565,0.0093565
15,1408.97,1.63262,2.35088,1.96099,0.44606,0.33375,0.29896,0.14299,1.64604,2.39827,2.04697,0.009307,0.009307,0.009307
16,1497.93,1.62653,2.33761,1.95508,0.39639,0.34853,0.33013,0.16561,1.63241,2.33203,2.01397,0.0092575,0.0092575,0.0092575
17,1586,1.62239,2.3227,1.94922,0.50111,0.33512,0.34916,0.17365,1.64592,2.32311,2.0377,0.009208,0.009208,0.009208
18,1675.99,1.58878,2.25768,1.9208,0.56515,0.31486,0.35001,0.17462,1.58677,2.30801,1.97199,0.0091585,0.0091585,0.0091585
19,1769.47,1.58588,2.23646,1.91073,0.48384,0.37879,0.34922,0.17992,1.58896,2.24896,1.95881,0.009109,0.009109,0.009109
20,1862.88,1.56917,2.21719,1.90031,0.41109,0.35585,0.33945,0.16904,1.6068,2.25947,1.98218,0.0090595,0.0090595,0.0090595
21,1956.15,1.57286,2.20729,1.89241,0.51666,0.31891,0.3411,0.17285,1.59085,2.26298,1.97635,0.00901,0.00901,0.00901
22,2050.09,1.56235,2.17501,1.87746,0.4802,0.42659,0.39166,0.19885,1.57675,2.14812,1.95024,0.0089605,0.0089605,0.0089605
